Metric,FC_AE_2,LOF_1
Computation Time (seconds),0.00848317865429234,NaN
F1 Score (point-wise),0.3289,0.6349
F1 Score (event-wise),0.0625,0.4
F1 Score (point-adjusted),0.4709,0.7845
F1 Score (composite),0.3626,0.724
F0.5 Score (point-wise),0.2547,0.5926
F0.5 Score (event-wise),0.04,0.2941
F0.5 Score (point-adjusted),0.3574,0.6946
F0.5 Score (composite),0.2623,0.6211
Precision (point-wise),0.2214,0.5674
Precision (event-wise),0.0323,0.25
Precision (point-adjusted),0.3079,0.6453
Recall (point-wise),0.6392,0.7207
Recall (event-wise),1,1
Recall (point-adjusted),1,1
