Metric,FC AE  (1),LSTM  (1),LOF  (1)
F1 Score (point-wise),0.3119,0.2957,0
F1 Score (event-wise),1,0.3636,0
F1 Score (point-adjusted),0.875,0.4444,0
F1 Score (composite),0.7234,0.3269,0
F0.5 Score (point-wise),0.4271,0.2261,0
F0.5 Score (event-wise),1,0.2632,0
F0.5 Score (point-adjusted),0.814,0.3333,0
F0.5 Score (composite),0.6204,0.2329,0
Precision (point-wise),0.5667,0.1954,0
Precision (event-wise),1,0.2222,0
Precision (point-adjusted),0.7778,0.2857,0
Recall (point-wise),0.2152,0.6071,0
Recall (event-wise),1,1,0
Recall (point-adjusted),1,1,0
